,overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
43187,68.0,75.0,53.0,35.0,56.0,66.0,32.0,57.0,70.0,72.0,54.0,59.0,72.0,77.0,75.0,59.0,67.0,70.0,75.0,66.0,78.0,68.0,59.0,71.0,47.0,37.0,46.0,70.0,71.0,69.0,9.0,10.0,9.0,7.0,6.0
43199,71.0,71.0,66.0,54.0,63.0,66.0,52.0,72.0,52.0,48.0,62.0,71.0,86.0,88.0,81.0,69.0,78.0,64.0,82.0,73.0,71.0,53.0,72.0,67.0,64.0,59.0,48.0,71.0,71.0,72.0,14.0,16.0,6.0,6.0,8.0
43220,64.0,74.0,63.0,32.0,52.0,57.0,29.0,63.0,33.0,38.0,46.0,44.0,67.0,75.0,56.0,58.0,56.0,36.0,55.0,65.0,66.0,35.0,60.0,61.0,46.0,42.0,41.0,66.0,70.0,73.0,16.0,7.0,10.0,13.0,10.0
43227,76.0,80.0,57.0,76.0,81.0,64.0,75.0,71.0,48.0,31.0,46.0,75.0,76.0,82.0,74.0,79.0,52.0,77.0,85.0,77.0,73.0,66.0,82.0,34.0,81.0,55.0,66.0,21.0,39.0,36.0,7.0,15.0,11.0,9.0,11.0
43247,67.0,68.0,26.0,29.0,72.0,46.0,34.0,38.0,34.0,26.0,30.0,45.0,57.0,62.0,43.0,50.0,53.0,48.0,73.0,57.0,78.0,27.0,72.0,57.0,23.0,32.0,45.0,65.0,75.0,73.0,7.0,7.0,11.0,12.0,11.0
43253,60.0,74.0,56.0,32.0,54.0,45.0,26.0,38.0,42.0,34.0,43.0,52.0,78.0,76.0,71.0,56.0,78.0,36.0,85.0,77.0,60.0,36.0,68.0,57.0,52.0,33.0,44.0,51.0,63.0,63.0,13.0,11.0,11.0,9.0,14.0
43259,75.0,77.0,58.0,79.0,77.0,62.0,70.0,72.0,53.0,62.0,52.0,75.0,78.0,78.0,73.0,74.0,62.0,72.0,80.0,70.0,79.0,64.0,67.0,37.0,80.0,56.0,73.0,24.0,23.0,22.0,12.0,10.0,9.0,13.0,16.0
43282,69.0,71.0,38.0,17.0,46.0,70.0,17.0,50.0,55.0,54.0,65.0,65.0,71.0,70.0,73.0,72.0,61.0,60.0,77.0,81.0,77.0,53.0,79.0,68.0,40.0,64.0,32.0,66.0,71.0,64.0,12.0,11.0,10.0,9.0,16.0
43299,67.0,67.0,23.0,12.0,70.0,54.0,16.0,51.0,19.0,12.0,56.0,54.0,33.0,31.0,33.0,60.0,33.0,71.0,82.0,33.0,92.0,18.0,81.0,63.0,36.0,56.0,21.0,63.0,64.0,58.0,14.0,7.0,14.0,6.0,11.0
43307,65.0,65.0,45.0,45.0,71.0,68.0,49.0,56.0,44.0,42.0,65.0,62.0,51.0,73.0,45.0,71.0,43.0,64.0,82.0,82.0,92.0,54.0,86.0,65.0,58.0,64.0,35.0,59.0,67.0,68.0,6.0,10.0,14.0,7.0,15.0
43336,67.0,71.0,61.0,40.0,67.0,68.0,36.0,67.0,55.0,37.0,59.0,68.0,67.0,67.0,67.0,67.0,75.0,53.0,92.0,66.0,63.0,35.0,66.0,63.0,61.0,51.0,48.0,71.0,72.0,71.0,16.0,8.0,10.0,11.0,15.0
43349,75.0,75.0,25.0,25.0,25.0,23.0,25.0,25.0,25.0,25.0,22.0,26.0,50.0,30.0,59.0,66.0,29.0,25.0,71.0,33.0,64.0,25.0,35.0,25.0,25.0,25.0,21.0,25.0,25.0,25.0,75.0,74.0,67.0,82.0,72.0
43364,72.0,76.0,74.0,25.0,66.0,61.0,43.0,73.0,68.0,36.0,65.0,67.0,76.0,78.0,59.0,65.0,51.0,74.0,73.0,79.0,77.0,56.0,77.0,76.0,58.0,53.0,33.0,68.0,72.0,74.0,14.0,6.0,4.0,8.0,7.0
43380,63.0,68.0,67.0,40.0,47.0,71.0,45.0,63.0,71.0,72.0,67.0,68.0,67.0,70.0,56.0,61.0,54.0,56.0,30.0,62.0,68.0,54.0,60.0,48.0,52.0,68.0,54.0,58.0,57.0,52.0,5.0,11.0,11.0,10.0,8.0
43398,76.0,76.0,48.0,58.0,75.0,78.0,34.0,67.0,56.0,66.0,74.0,73.0,65.0,56.0,70.0,75.0,68.0,80.0,72.0,83.0,77.0,68.0,83.0,76.0,41.0,67.0,69.0,72.0,77.0,74.0,10.0,16.0,6.0,13.0,10.0
43418,81.0,81.0,67.0,83.0,88.0,66.0,77.0,77.0,75.0,82.0,60.0,80.0,67.0,66.0,63.0,80.0,59.0,86.0,78.0,64.0,86.0,80.0,79.0,42.0,83.0,79.0,84.0,22.0,32.0,29.0,10.0,11.0,8.0,6.0,14.0
43452,70.0,70.0,67.0,71.0,58.0,69.0,74.0,71.0,74.0,57.0,55.0,73.0,75.0,72.0,80.0,72.0,79.0,73.0,82.0,59.0,68.0,71.0,57.0,30.0,72.0,69.0,60.0,24.0,25.0,26.0,11.0,10.0,8.0,14.0,11.0
43490,70.0,70.0,12.0,12.0,20.0,27.0,14.0,14.0,15.0,13.0,24.0,20.0,63.0,58.0,54.0,65.0,56.0,22.0,73.0,24.0,83.0,12.0,32.0,23.0,15.0,37.0,14.0,13.0,14.0,15.0,73.0,62.0,68.0,71.0,75.0
43509,70.0,70.0,55.0,40.0,65.0,69.0,52.0,66.0,56.0,58.0,69.0,70.0,71.0,68.0,72.0,67.0,69.0,73.0,70.0,66.0,75.0,62.0,70.0,75.0,55.0,68.0,39.0,71.0,70.0,70.0,6.0,6.0,13.0,6.0,9.0
43530,70.0,70.0,15.0,11.0,11.0,31.0,14.0,14.0,12.0,12.0,22.0,29.0,31.0,43.0,36.0,67.0,41.0,28.0,45.0,40.0,64.0,16.0,31.0,23.0,14.0,29.0,46.0,13.0,13.0,12.0,68.0,72.0,55.0,75.0,71.0
43543,82.0,82.0,24.0,20.0,20.0,33.0,25.0,14.0,24.0,21.0,33.0,15.0,55.0,54.0,69.0,80.0,57.0,24.0,84.0,43.0,67.0,22.0,44.0,19.0,13.0,64.0,24.0,14.0,13.0,15.0,88.0,76.0,76.0,77.0,87.0
43564,72.0,72.0,70.0,52.0,80.0,68.0,28.0,60.0,63.0,77.0,66.0,62.0,54.0,52.0,32.0,61.0,33.0,84.0,34.0,54.0,86.0,72.0,73.0,75.0,57.0,57.0,59.0,75.0,77.0,64.0,10.0,7.0,16.0,9.0,15.0
43575,73.0,73.0,65.0,66.0,73.0,72.0,69.0,78.0,67.0,65.0,65.0,76.0,87.0,82.0,87.0,71.0,82.0,73.0,76.0,73.0,57.0,70.0,64.0,40.0,70.0,68.0,71.0,27.0,31.0,26.0,6.0,7.0,14.0,15.0,12.0
43590,80.0,80.0,14.0,8.0,15.0,32.0,12.0,13.0,12.0,13.0,31.0,20.0,42.0,44.0,44.0,80.0,47.0,22.0,73.0,43.0,76.0,11.0,38.0,22.0,7.0,37.0,23.0,10.0,13.0,14.0,81.0,78.0,62.0,80.0,81.0
43611,72.0,72.0,70.0,62.0,42.0,64.0,65.0,77.0,87.0,69.0,60.0,76.0,84.0,85.0,83.0,71.0,82.0,76.0,70.0,68.0,72.0,78.0,64.0,31.0,72.0,60.0,40.0,23.0,24.0,23.0,15.0,7.0,7.0,12.0,15.0
43625,73.0,76.0,68.0,61.0,35.0,77.0,60.0,79.0,82.0,75.0,73.0,78.0,77.0,79.0,92.0,55.0,96.0,62.0,57.0,59.0,36.0,77.0,31.0,27.0,69.0,72.0,70.0,25.0,30.0,25.0,14.0,15.0,15.0,8.0,12.0
43654,71.0,78.0,54.0,59.0,71.0,75.0,57.0,61.0,64.0,65.0,76.0,73.0,56.0,58.0,53.0,64.0,77.0,73.0,75.0,64.0,78.0,65.0,79.0,70.0,56.0,73.0,51.0,70.0,70.0,68.0,13.0,7.0,15.0,10.0,12.0
43661,75.0,75.0,74.0,64.0,72.0,66.0,64.0,82.0,73.0,55.0,61.0,81.0,92.0,79.0,93.0,72.0,94.0,64.0,52.0,74.0,33.0,63.0,67.0,45.0,73.0,64.0,74.0,32.0,49.0,26.0,10.0,11.0,11.0,9.0,10.0
43693,70.0,77.0,35.0,26.0,74.0,58.0,29.0,45.0,47.0,70.0,51.0,54.0,65.0,67.0,52.0,65.0,57.0,75.0,82.0,67.0,78.0,57.0,79.0,68.0,33.0,31.0,41.0,71.0,72.0,66.0,7.0,10.0,14.0,7.0,11.0
43706,74.0,74.0,77.0,71.0,53.0,68.0,65.0,82.0,80.0,70.0,62.0,77.0,80.0,72.0,71.0,79.0,82.0,72.0,69.0,52.0,54.0,72.0,69.0,43.0,77.0,75.0,88.0,33.0,41.0,40.0,8.0,6.0,16.0,8.0,13.0
43725,57.0,57.0,50.0,49.0,51.0,60.0,43.0,55.0,39.0,41.0,58.0,61.0,65.0,61.0,63.0,51.0,81.0,51.0,49.0,63.0,57.0,42.0,52.0,61.0,61.0,55.0,51.0,54.0,51.0,52.0,1.0,1.0,1.0,1.0,1.0
43736,73.0,75.0,74.0,29.0,66.0,73.0,39.0,70.0,63.0,40.0,66.0,74.0,72.0,73.0,71.0,72.0,70.0,69.0,65.0,71.0,64.0,58.0,75.0,69.0,55.0,55.0,52.0,74.0,76.0,75.0,11.0,13.0,9.0,15.0,11.0
43755,85.0,86.0,63.0,88.0,82.0,65.0,81.0,82.0,58.0,59.0,48.0,82.0,75.0,78.0,63.0,85.0,52.0,83.0,60.0,85.0,91.0,69.0,90.0,40.0,88.0,74.0,76.0,28.0,39.0,34.0,11.0,13.0,12.0,8.0,11.0
43791,74.0,74.0,45.0,48.0,80.0,58.0,57.0,57.0,33.0,53.0,66.0,65.0,53.0,51.0,59.0,70.0,54.0,69.0,80.0,69.0,76.0,56.0,73.0,75.0,46.0,43.0,55.0,75.0,79.0,74.0,16.0,16.0,8.0,7.0,11.0
43813,71.0,74.0,66.0,62.0,60.0,74.0,66.0,78.0,76.0,58.0,62.0,77.0,79.0,75.0,84.0,68.0,51.0,64.0,60.0,74.0,52.0,65.0,34.0,31.0,63.0,68.0,59.0,19.0,27.0,22.0,7.0,6.0,13.0,14.0,13.0
43847,69.0,73.0,32.0,68.0,67.0,61.0,62.0,68.0,45.0,33.0,54.0,68.0,76.0,71.0,71.0,68.0,63.0,69.0,70.0,69.0,72.0,66.0,43.0,20.0,72.0,57.0,59.0,11.0,15.0,15.0,6.0,12.0,7.0,5.0,14.0
43882,71.0,73.0,62.0,70.0,55.0,60.0,60.0,78.0,63.0,65.0,55.0,77.0,90.0,87.0,91.0,64.0,92.0,59.0,71.0,70.0,35.0,68.0,40.0,25.0,70.0,68.0,61.0,11.0,27.0,12.0,6.0,7.0,6.0,5.0,14.0
43917,78.0,78.0,77.0,79.0,64.0,80.0,85.0,80.0,87.0,80.0,73.0,86.0,63.0,68.0,72.0,73.0,69.0,85.0,76.0,60.0,74.0,80.0,49.0,23.0,81.0,80.0,81.0,22.0,25.0,25.0,8.0,12.0,9.0,5.0,8.0
43939,72.0,72.0,36.0,23.0,74.0,56.0,34.0,34.0,33.0,27.0,39.0,54.0,55.0,53.0,57.0,66.0,56.0,43.0,91.0,64.0,74.0,26.0,69.0,77.0,28.0,29.0,43.0,72.0,76.0,73.0,8.0,12.0,7.0,8.0,13.0
43950,86.0,86.0,55.0,42.0,92.0,77.0,47.0,53.0,49.0,51.0,69.0,73.0,68.0,69.0,62.0,83.0,58.0,67.0,88.0,73.0,78.0,43.0,84.0,86.0,48.0,52.0,50.0,86.0,86.0,89.0,6.0,8.0,15.0,5.0,15.0
43972,63.0,63.0,59.0,38.0,21.0,65.0,40.0,64.0,59.0,67.0,68.0,65.0,70.0,66.0,78.0,69.0,79.0,61.0,62.0,63.0,34.0,50.0,38.0,27.0,52.0,68.0,68.0,22.0,18.0,19.0,8.0,13.0,14.0,15.0,11.0
43990,56.0,68.0,50.0,25.0,53.0,50.0,22.0,48.0,32.0,34.0,21.0,53.0,66.0,61.0,52.0,52.0,53.0,35.0,57.0,58.0,74.0,24.0,49.0,55.0,41.0,39.0,42.0,55.0,60.0,57.0,7.0,7.0,8.0,8.0,12.0
43992,70.0,70.0,59.0,70.0,60.0,59.0,64.0,75.0,61.0,68.0,55.0,72.0,75.0,68.0,76.0,80.0,82.0,67.0,72.0,54.0,58.0,64.0,51.0,27.0,78.0,64.0,69.0,25.0,23.0,25.0,8.0,15.0,10.0,13.0,14.0
44016,73.0,78.0,70.0,60.0,43.0,76.0,49.0,76.0,61.0,60.0,72.0,78.0,82.0,79.0,81.0,66.0,72.0,70.0,65.0,90.0,65.0,66.0,62.0,42.0,60.0,66.0,49.0,48.0,50.0,55.0,10.0,12.0,10.0,9.0,8.0
44042,70.0,71.0,74.0,57.0,53.0,74.0,54.0,73.0,66.0,66.0,70.0,76.0,76.0,69.0,74.0,61.0,66.0,62.0,46.0,52.0,62.0,56.0,45.0,50.0,58.0,75.0,59.0,43.0,49.0,50.0,8.0,13.0,11.0,9.0,14.0
44051,73.0,80.0,56.0,39.0,70.0,73.0,32.0,51.0,31.0,36.0,60.0,68.0,66.0,63.0,53.0,72.0,54.0,46.0,69.0,68.0,69.0,37.0,70.0,80.0,43.0,51.0,54.0,72.0,74.0,75.0,8.0,12.0,11.0,9.0,7.0
44070,72.0,79.0,59.0,65.0,55.0,74.0,59.0,75.0,68.0,61.0,68.0,75.0,74.0,72.0,81.0,68.0,90.0,69.0,50.0,63.0,33.0,64.0,71.0,42.0,66.0,73.0,67.0,41.0,53.0,51.0,16.0,11.0,7.0,15.0,11.0
44091,79.0,79.0,11.0,12.0,10.0,28.0,14.0,11.0,10.0,11.0,23.0,23.0,34.0,52.0,48.0,74.0,47.0,22.0,68.0,42.0,66.0,11.0,36.0,16.0,11.0,53.0,21.0,14.0,13.0,14.0,80.0,76.0,72.0,82.0,78.0
44116,74.0,74.0,20.0,47.0,73.0,64.0,28.0,21.0,23.0,49.0,54.0,58.0,27.0,31.0,33.0,64.0,42.0,58.0,73.0,54.0,78.0,60.0,85.0,75.0,30.0,43.0,41.0,72.0,75.0,70.0,12.0,7.0,9.0,10.0,7.0
44144,72.0,72.0,39.0,40.0,82.0,59.0,23.0,41.0,33.0,19.0,61.0,57.0,32.0,34.0,34.0,64.0,39.0,60.0,54.0,62.0,85.0,20.0,84.0,71.0,34.0,55.0,38.0,72.0,74.0,67.0,12.0,7.0,8.0,10.0,16.0
44165,73.0,75.0,22.0,17.0,15.0,29.0,22.0,14.0,14.0,11.0,28.0,13.0,45.0,51.0,47.0,71.0,53.0,23.0,76.0,33.0,62.0,24.0,19.0,18.0,11.0,31.0,23.0,16.0,15.0,14.0,77.0,70.0,69.0,71.0,78.0
44190,67.0,72.0,60.0,66.0,66.0,74.0,62.0,73.0,65.0,48.0,59.0,68.0,74.0,75.0,71.0,62.0,58.0,67.0,78.0,64.0,71.0,60.0,51.0,33.0,61.0,62.0,71.0,25.0,31.0,17.0,12.0,8.0,11.0,10.0,11.0
44202,78.0,78.0,63.0,82.0,79.0,77.0,79.0,78.0,76.0,66.0,65.0,84.0,65.0,62.0,62.0,76.0,70.0,75.0,80.0,52.0,73.0,61.0,46.0,23.0,87.0,77.0,87.0,17.0,21.0,19.0,13.0,6.0,7.0,16.0,15.0
44239,71.0,71.0,34.0,26.0,73.0,60.0,15.0,32.0,46.0,39.0,62.0,54.0,51.0,49.0,46.0,55.0,39.0,31.0,34.0,62.0,90.0,26.0,70.0,77.0,13.0,42.0,30.0,72.0,76.0,70.0,6.0,11.0,7.0,12.0,11.0
44259,70.0,70.0,60.0,34.0,69.0,65.0,59.0,61.0,45.0,57.0,66.0,68.0,55.0,55.0,60.0,69.0,78.0,69.0,74.0,74.0,82.0,59.0,88.0,72.0,59.0,62.0,65.0,65.0,72.0,71.0,5.0,4.0,8.0,6.0,9.0
44282,79.0,80.0,79.0,66.0,57.0,80.0,60.0,86.0,72.0,64.0,69.0,87.0,85.0,79.0,80.0,80.0,79.0,73.0,64.0,73.0,55.0,75.0,51.0,36.0,74.0,82.0,62.0,24.0,31.0,22.0,5.0,8.0,14.0,6.0,8.0
44313,75.0,83.0,61.0,48.0,75.0,70.0,41.0,71.0,57.0,39.0,71.0,75.0,67.0,71.0,68.0,73.0,55.0,52.0,72.0,69.0,62.0,56.0,74.0,80.0,61.0,58.0,56.0,78.0,76.0,81.0,8.0,14.0,12.0,7.0,8.0
44342,64.0,64.0,46.0,43.0,50.0,63.0,40.0,45.0,59.0,51.0,55.0,52.0,32.0,34.0,47.0,62.0,56.0,76.0,51.0,59.0,80.0,44.0,79.0,70.0,40.0,57.0,44.0,62.0,76.0,59.0,15.0,5.0,14.0,15.0,14.0
44372,77.0,82.0,73.0,82.0,68.0,76.0,67.0,82.0,68.0,70.0,62.0,79.0,77.0,79.0,81.0,80.0,69.0,78.0,72.0,67.0,63.0,65.0,62.0,24.0,83.0,74.0,75.0,33.0,27.0,18.0,14.0,7.0,7.0,7.0,14.0
44390,69.0,76.0,52.0,73.0,70.0,59.0,69.0,67.0,60.0,42.0,43.0,70.0,76.0,70.0,75.0,62.0,79.0,74.0,68.0,64.0,56.0,65.0,66.0,23.0,71.0,57.0,74.0,28.0,22.0,24.0,7.0,12.0,11.0,15.0,9.0
44410,68.0,68.0,63.0,47.0,55.0,64.0,39.0,53.0,58.0,55.0,52.0,68.0,71.0,73.0,74.0,61.0,61.0,44.0,82.0,72.0,71.0,50.0,67.0,73.0,48.0,47.0,57.0,66.0,67.0,73.0,8.0,14.0,6.0,8.0,13.0
44431,77.0,77.0,78.0,67.0,65.0,79.0,66.0,76.0,80.0,78.0,76.0,78.0,69.0,68.0,73.0,80.0,73.0,80.0,68.0,69.0,64.0,84.0,53.0,36.0,79.0,82.0,71.0,33.0,32.0,24.0,15.0,15.0,8.0,10.0,12.0
44467,70.0,70.0,15.0,11.0,10.0,29.0,13.0,19.0,15.0,13.0,29.0,20.0,32.0,33.0,32.0,63.0,31.0,24.0,68.0,29.0,78.0,11.0,23.0,13.0,15.0,39.0,11.0,10.0,10.0,17.0,70.0,76.0,64.0,75.0,66.0
44478,79.0,79.0,81.0,66.0,53.0,83.0,80.0,84.0,85.0,85.0,82.0,83.0,75.0,74.0,81.0,71.0,84.0,74.0,75.0,65.0,61.0,75.0,61.0,34.0,70.0,80.0,84.0,26.0,36.0,34.0,6.0,6.0,5.0,14.0,14.0
44511,72.0,72.0,75.0,70.0,57.0,73.0,63.0,75.0,76.0,78.0,71.0,75.0,72.0,75.0,78.0,64.0,76.0,72.0,54.0,61.0,64.0,71.0,55.0,46.0,65.0,74.0,68.0,19.0,14.0,16.0,9.0,12.0,15.0,8.0,8.0
44531,67.0,71.0,54.0,61.0,54.0,58.0,50.0,76.0,36.0,39.0,49.0,74.0,77.0,75.0,82.0,66.0,72.0,67.0,59.0,59.0,40.0,54.0,49.0,25.0,64.0,58.0,51.0,40.0,30.0,25.0,10.0,10.0,9.0,16.0,10.0
44537,64.0,64.0,57.0,71.0,54.0,58.0,54.0,56.0,48.0,57.0,53.0,52.0,70.0,76.0,71.0,70.0,68.0,67.0,74.0,72.0,68.0,60.0,56.0,43.0,68.0,57.0,62.0,23.0,34.0,39.0,6.0,12.0,13.0,7.0,5.0
44546,63.0,66.0,53.0,66.0,78.0,56.0,58.0,45.0,62.0,61.0,53.0,50.0,68.0,62.0,50.0,63.0,47.0,69.0,74.0,66.0,74.0,61.0,62.0,32.0,63.0,57.0,53.0,31.0,46.0,52.0,14.0,6.0,5.0,14.0,10.0
44550,61.0,82.0,51.0,35.0,62.0,76.0,46.0,37.0,47.0,76.0,64.0,64.0,40.0,44.0,28.0,30.0,70.0,71.0,83.0,28.0,82.0,66.0,74.0,75.0,51.0,78.0,66.0,70.0,72.0,56.0,11.0,12.0,10.0,8.0,15.0
44555,78.0,78.0,46.0,79.0,79.0,73.0,72.0,75.0,48.0,46.0,53.0,76.0,79.0,84.0,83.0,78.0,66.0,80.0,83.0,78.0,82.0,68.0,68.0,35.0,79.0,69.0,72.0,16.0,36.0,28.0,8.0,6.0,9.0,10.0,12.0
44576,70.0,73.0,73.0,52.0,40.0,65.0,64.0,75.0,68.0,57.0,54.0,72.0,89.0,83.0,84.0,68.0,89.0,60.0,86.0,78.0,42.0,54.0,49.0,38.0,64.0,64.0,54.0,18.0,29.0,24.0,11.0,10.0,9.0,10.0,15.0
44588,64.0,64.0,59.0,48.0,52.0,68.0,45.0,66.0,53.0,45.0,72.0,72.0,51.0,61.0,71.0,68.0,59.0,77.0,77.0,71.0,73.0,67.0,47.0,60.0,58.0,61.0,60.0,53.0,65.0,56.0,10.0,14.0,7.0,13.0,6.0
44610,80.0,80.0,78.0,83.0,82.0,85.0,82.0,81.0,78.0,65.0,76.0,88.0,54.0,60.0,69.0,70.0,52.0,82.0,70.0,52.0,71.0,70.0,42.0,28.0,82.0,82.0,86.0,11.0,14.0,10.0,15.0,6.0,9.0,8.0,15.0
44635,69.0,69.0,62.0,69.0,74.0,68.0,59.0,66.0,66.0,62.0,64.0,68.0,65.0,62.0,70.0,71.0,74.0,67.0,76.0,55.0,75.0,65.0,67.0,36.0,76.0,62.0,74.0,32.0,42.0,33.0,13.0,15.0,14.0,13.0,6.0
44668,67.0,67.0,40.0,72.0,78.0,62.0,62.0,45.0,54.0,29.0,40.0,63.0,51.0,56.0,40.0,69.0,33.0,73.0,34.0,58.0,86.0,50.0,46.0,32.0,78.0,64.0,72.0,25.0,38.0,26.0,9.0,10.0,7.0,10.0,14.0
44684,70.0,77.0,67.0,30.0,67.0,66.0,30.0,64.0,32.0,31.0,59.0,67.0,71.0,74.0,59.0,66.0,44.0,66.0,60.0,68.0,86.0,39.0,79.0,72.0,39.0,47.0,37.0,72.0,73.0,70.0,15.0,9.0,8.0,9.0,9.0
44698,62.0,69.0,63.0,31.0,53.0,62.0,46.0,56.0,53.0,46.0,57.0,61.0,71.0,66.0,83.0,63.0,91.0,48.0,87.0,67.0,34.0,38.0,73.0,58.0,53.0,55.0,37.0,66.0,60.0,61.0,10.0,6.0,15.0,7.0,11.0
44706,71.0,77.0,71.0,48.0,57.0,68.0,46.0,79.0,59.0,41.0,65.0,73.0,74.0,79.0,67.0,56.0,66.0,61.0,73.0,74.0,77.0,53.0,68.0,70.0,68.0,55.0,56.0,63.0,75.0,77.0,11.0,7.0,6.0,10.0,14.0
44721,61.0,62.0,57.0,55.0,57.0,58.0,51.0,61.0,49.0,52.0,56.0,63.0,78.0,75.0,74.0,58.0,65.0,59.0,57.0,67.0,62.0,54.0,59.0,62.0,61.0,58.0,46.0,53.0,57.0,56.0,14.0,10.0,13.0,14.0,11.0
44731,83.0,83.0,83.0,75.0,59.0,86.0,79.0,86.0,88.0,88.0,85.0,87.0,79.0,75.0,78.0,76.0,78.0,77.0,48.0,71.0,76.0,83.0,55.0,42.0,79.0,88.0,76.0,29.0,48.0,45.0,11.0,15.0,9.0,14.0,12.0
44762,63.0,63.0,67.0,61.0,64.0,64.0,64.0,62.0,67.0,46.0,62.0,62.0,68.0,62.0,76.0,54.0,67.0,76.0,67.0,74.0,72.0,79.0,70.0,64.0,58.0,52.0,64.0,62.0,65.0,63.0,14.0,8.0,11.0,10.0,10.0
44783,70.0,70.0,48.0,72.0,67.0,56.0,64.0,65.0,65.0,51.0,52.0,61.0,77.0,69.0,63.0,70.0,64.0,74.0,60.0,49.0,69.0,59.0,71.0,41.0,77.0,56.0,72.0,33.0,36.0,27.0,9.0,14.0,5.0,11.0,13.0
44794,71.0,79.0,71.0,60.0,37.0,74.0,67.0,76.0,60.0,69.0,70.0,74.0,78.0,82.0,79.0,60.0,82.0,67.0,48.0,65.0,44.0,68.0,39.0,31.0,68.0,71.0,67.0,21.0,24.0,26.0,11.0,15.0,11.0,10.0,16.0
44805,54.0,70.0,27.0,58.0,57.0,56.0,39.0,48.0,36.0,42.0,31.0,57.0,68.0,67.0,53.0,47.0,63.0,42.0,55.0,33.0,68.0,53.0,33.0,13.0,51.0,50.0,67.0,11.0,17.0,13.0,5.0,7.0,6.0,11.0,14.0
44810,72.0,72.0,39.0,74.0,76.0,57.0,67.0,66.0,59.0,51.0,44.0,71.0,70.0,69.0,60.0,69.0,54.0,73.0,72.0,54.0,66.0,68.0,34.0,25.0,75.0,51.0,72.0,24.0,46.0,21.0,6.0,13.0,11.0,11.0,12.0
44821,64.0,75.0,27.0,29.0,70.0,44.0,28.0,39.0,31.0,28.0,37.0,38.0,43.0,49.0,40.0,47.0,45.0,47.0,57.0,64.0,80.0,27.0,74.0,60.0,28.0,29.0,46.0,61.0,70.0,67.0,16.0,13.0,9.0,7.0,12.0
44829,70.0,70.0,70.0,64.0,64.0,72.0,63.0,70.0,65.0,70.0,71.0,72.0,73.0,75.0,75.0,57.0,58.0,82.0,67.0,69.0,70.0,75.0,47.0,41.0,67.0,74.0,72.0,52.0,43.0,33.0,10.0,16.0,8.0,8.0,12.0
44855,69.0,75.0,28.0,24.0,71.0,64.0,27.0,30.0,19.0,16.0,63.0,61.0,53.0,58.0,51.0,68.0,49.0,63.0,70.0,74.0,79.0,26.0,70.0,67.0,22.0,35.0,34.0,68.0,68.0,67.0,10.0,13.0,14.0,13.0,6.0
44873,69.0,75.0,56.0,25.0,71.0,60.0,26.0,46.0,47.0,41.0,61.0,57.0,60.0,65.0,58.0,70.0,74.0,29.0,77.0,60.0,72.0,31.0,71.0,66.0,23.0,47.0,43.0,67.0,75.0,64.0,9.0,14.0,13.0,10.0,12.0
44878,61.0,68.0,39.0,63.0,66.0,62.0,53.0,55.0,50.0,39.0,41.0,58.0,33.0,54.0,35.0,58.0,63.0,67.0,65.0,55.0,86.0,55.0,39.0,42.0,59.0,54.0,62.0,15.0,16.0,19.0,10.0,11.0,16.0,10.0,10.0
44887,72.0,74.0,66.0,51.0,58.0,76.0,51.0,66.0,66.0,68.0,74.0,73.0,69.0,66.0,73.0,78.0,71.0,64.0,74.0,79.0,60.0,69.0,70.0,71.0,67.0,69.0,70.0,69.0,67.0,62.0,13.0,13.0,7.0,13.0,6.0
44908,57.0,65.0,33.0,26.0,56.0,35.0,26.0,27.0,31.0,30.0,32.0,37.0,65.0,68.0,41.0,46.0,56.0,45.0,76.0,61.0,67.0,20.0,51.0,59.0,29.0,29.0,48.0,57.0,65.0,60.0,12.0,8.0,12.0,8.0,8.0
44912,66.0,66.0,65.0,64.0,49.0,71.0,59.0,71.0,65.0,54.0,71.0,70.0,84.0,76.0,91.0,65.0,88.0,68.0,76.0,75.0,31.0,61.0,56.0,46.0,68.0,69.0,55.0,35.0,48.0,40.0,11.0,13.0,9.0,8.0,9.0
44918,77.0,83.0,78.0,41.0,60.0,73.0,47.0,72.0,63.0,43.0,63.0,77.0,79.0,78.0,84.0,73.0,90.0,74.0,83.0,79.0,64.0,77.0,80.0,78.0,63.0,57.0,48.0,76.0,78.0,80.0,13.0,12.0,16.0,7.0,16.0
44940,74.0,87.0,58.0,71.0,73.0,66.0,66.0,79.0,74.0,31.0,64.0,77.0,79.0,79.0,84.0,78.0,71.0,76.0,66.0,73.0,43.0,76.0,59.0,26.0,77.0,73.0,61.0,26.0,40.0,33.0,7.0,12.0,15.0,9.0,11.0
44956,63.0,66.0,40.0,44.0,67.0,68.0,39.0,63.0,41.0,37.0,60.0,67.0,51.0,57.0,63.0,66.0,65.0,66.0,71.0,70.0,75.0,54.0,68.0,56.0,58.0,63.0,35.0,56.0,59.0,57.0,6.0,7.0,15.0,12.0,14.0
